Line,Element,,,,,
6903,CaH_6903->,,,,,
6908,CaH_6908->,,,,,
6921,CaH_6921->,,,,,
6933,ZrO_6933->,,,,,
6955,CN_6955->,,,,,
6988,ZrO_6988->,,,,,
7037,C_III_7037->,,,,,
7054,TiO_7054->,,,,,
7063,Ni_I_7063->,,,,,
7065,He_I_7065->,,,,,
7066,La_7066->,,,,,
7088,TiO_7088->,,,,,
7100,N_IV_7100->,,,,,
7102,N_V_7102->,,,,,
7103,N_V_7103->,,,,,
7104,N_V_7104->,,,,,
7105,N_V_7105->,,,,,
7106,N_V_7106->,,,,,
7107,N_V_7107->,,,,,
7108,N_V_7108->,,,,,
7109,N_V_7109->,,,,,
7110,N_V_7110->,,,,,
7111,N_V_7111->,,,,,
7112,N_V_7112->,,,,,
7113,N_V_7113->,,,,,
7114,N_V_7114->,,,,,
7115,N_V_7115->,,,,,
7116,N_V_7116->,,,,,
7117,N_V_7117->,,,,,
7118,N_V_7118->,,,,,
7119,N_V_7119->,,,,,
7120,N_V_7120->,,,,,
7121,N_V_7121->,,,,,
7122,N_V_7122->,,,,,
7123,N_V_7123->,,,,,
7124,N_V_7124->,,,,,
7125,N_V_7125->,,,,,
7126,TiO_7126->,,,,,
7127,N_V_7127->,,,,,
7128,N_V_7128->,,,,,
7129,N_V_7129->,,,,,
7135,Ar_III_7135->,,,,,
7137,Ar_III_7137->,,,,,
7246,Sky_7246.0_SDSS,,,,,
7281,He_I_7281->,,,,,
7283,CN_7283->,,,,,
7570,Telluric_7570->,,,,,
7575,Telluric_7575->,,,,,
7580,Telluric_7580->,,,,,
7585,Telluric_7585->,,,,,
7590,Telluric_7590->,,,,,
7591,Telluric_7591->,,,,,
7592,Telluric_7592->,,,,,
7593,Telluric_7593->,,,,,
7594,O2_A_band_7594->,,,,,
7595,Telluric_7595->,,,,,
7596,O2_A_band_7596->,,,,,
7598,O2_A_band_7598->,,,,,
7600,O2_A_band_7600->,,,,,
7602,O2_A_band_7602->,,,,,
7604,O2_A_band_7604->,,,,,
7605,Telluric_7605->,,,,,
7606,O2_A_band_7606->,,,,,
7608,O2_A_band_7608->,,,,,
7610,O2_A_band_7610->,,,,,
7612,O2_A_band_7612->,,,,,
7614,O2_A_band_7614->,,,,,
7615,Telluric_7615->,,,,,
7616,O2_A_band_7616->,,,,,
7618,O2_A_band_7618->,,,,,
7621,O2_A_band_7621->,,,,,
7625,Telluric_7625->,,,,,
7635,Telluric_7635->,,,,,
7645,Telluric_7645->,,,,,
7655,Telluric_7655->,,,,,
7665,Telluric_7665->,,,,,
7675,Telluric_7675->,,,,,
7685,Telluric_7685->,,,,,
7695,Telluric_7695->,,,,,
7698,Telluric_7698->,,,,,
7699,CN_7699->,,,,,
7699,K_7699_GALAH,,,,,
7700,Telluric_7700->,,,,,
7713,Co_7713_GALAH,,,,,
7772,O_I_7772->,,,,,
7774,O_I_7774->,,,,,
7775,O_I_7775->,,,,,
7800,Rb_7800_GALAH,,,,,
7838,Co_7838_GALAH,,,,,
7853,Ti_7853_GALAH,,,,,
8446,O_I_8446->,,,,,
8498,Ca_II_8498->,,,,,
8500,C_III_8500->,,,,,
8542,Ca_II_8542->,,,,,
8583,He_I_8583->,,,,,
8600,Pa14_8600->,,,,,
8662,Ca_II_8662->,,,,,
8727,C_I_8727->,,,,,
8752,Pa12_8752->,,,,,
8865,Pa11_8865->,,,,,
9017,Pa10_9017->,,,,,
9229,Pa9_9229->,,,,,
9546,Pa8_9546->,,,,,
9956,Fe_II_9956->,,,,,
9997,Fe_II_9997->,,,,,
10048,Pa7_10048->,,,,,
10123,He_II_10123->,,,,,
10173,Fe_II_10173->,,,,,
